FULL NAME,MATRIC NUMBER,NTU EMAIL ADDRESS
STUDENT310,U1745690,B120092@e.ntu.edu.sg
STUDENT311,U1745691,B120093@e.ntu.edu.sg
STUDENT312,U1745692,B120094@e.ntu.edu.sg
STUDENT313,U1745693,B120095@e.ntu.edu.sg
STUDENT314,U1745694,B120096@e.ntu.edu.sg
STUDENT315,U1745695,B120097@e.ntu.edu.sg
STUDENT316,U1745696,B120098@e.ntu.edu.sg
STUDENT317,U1745697,B120099@e.ntu.edu.sg
STUDENT318,U1745698,B120100@e.ntu.edu.sg
STUDENT319,U1745699,B120101@e.ntu.edu.sg
STUDENT320,U1745700,B120102@e.ntu.edu.sg
STUDENT321,U1745701,B120103@e.ntu.edu.sg
STUDENT322,U1745702,B120104@e.ntu.edu.sg
STUDENT323,U1745703,B120105@e.ntu.edu.sg
STUDENT324,U1745704,B120106@e.ntu.edu.sg
STUDENT325,U1745705,B120107@e.ntu.edu.sg
STUDENT326,U1745706,B120108@e.ntu.edu.sg
STUDENT327,U1745707,B120109@e.ntu.edu.sg
STUDENT328,U1745708,B120110@e.ntu.edu.sg
STUDENT329,U1745709,B120111@e.ntu.edu.sg
STUDENT330,U1745710,B120112@e.ntu.edu.sg
STUDENT331,U1745711,B120113@e.ntu.edu.sg
STUDENT332,U1745712,B120114@e.ntu.edu.sg
STUDENT333,U1745713,B120115@e.ntu.edu.sg
STUDENT334,U1745714,B120116@e.ntu.edu.sg
STUDENT335,U1745715,B120117@e.ntu.edu.sg
STUDENT336,U1745716,B120118@e.ntu.edu.sg
STUDENT337,U1745717,B120119@e.ntu.edu.sg
STUDENT338,U1745718,B120120@e.ntu.edu.sg
STUDENT339,U1745719,B120121@e.ntu.edu.sg
STUDENT340,U1745720,B120122@e.ntu.edu.sg
